combineId,playerId,combineYear,combinePosition,combineHeight,combineWeight,combineHand,nameFirst,nameLast,nameFull,position,collegeId,nflId,college,heightInches,weight,dob,ageAtDraft,playerProfileUrl,homeCity,homeState,homeCountry,highSchool,hsCity,hsState,hsCountry,combineArm,combine40yd,combineVert,combineBench,combineShuttle,combineBroad,combine3cone,combine60ydShuttle,combineWonderlic
10000,19870067,1987,CB,69.8,198,8.5,Michael,Adams,Michael Adams,DB,72401.0,2508219,Arkansas State,70.0,195.0,1964-04-05,23.076712328767123,http://www.nfl.com/player/MichaelAdams/2508219/profile,Shelby,MS,USA,,,,,30.5,4.42,32.0,13.0,4.6,118.0,,11.91,
10001,19870154,1987,C,74.8,266,10.25,John,Adickes,John Adickes,C,76706.0,2508242,Baylor,75.0,264.0,1964-06-29,22.843835616438355,http://www.nfl.com/player/JohnAdickes/2508242/profile,Queens,NY,USA,,,,,30.0,4.97,26.5,25.0,4.6,103.0,,,
10002,19870800,1987,FB,71.8,217,9.0,Tommy,Agee,Tommy Agee,FB,36849.0,,Auburn,72.0,217.0,,,,,,,,,,,30.75,,,15.0,,,,,
10003,19870121,1987,C,75.0,279,10.5,David,Alexander,David Alexander,C,74104.0,2499384,Tulsa (OK),75.0,285.0,1964-07-28,22.764383561643836,http://www.nfl.com/player/DavidAlexander/2499384/profile,Silver Spring,MD,USA,,,,,32.75,5.13,27.5,22.0,4.33,105.0,,,
10004,19870801,1987,WR,72.1,202,10.0,Lyneal,Alston,Lyneal Alston,WR,39406.0,2508416,Southern Miss,72.0,202.0,1964-07-23,22.778082191780822,http://www.nfl.com/player/LynealAlston/2508416/profile,Mobile,AL,USA,,,,,33.0,4.64,32.0,7.0,4.52,114.0,,11.85,
10005,19870201,1987,DE,76.5,273,8.75,Steve,Alvord,Steve Alvord,DT,98195.0,2508426,Washington,76.0,272.0,1964-10-02,22.583561643835615,http://www.nfl.com/player/SteveAlvord/2508426/profile,Bellingham,WA,USA,,,,,34.0,4.86,28.5,18.0,4.49,108.0,,,
10006,19870256,1987,CB,73.6,208,8.5,Anthony,Anderson,Anthony Anderson,DB,71245.0,2508463,Grambling State (LA),74.0,205.0,1964-10-24,22.523287671232875,http://www.nfl.com/player/AnthonyAnderson/2508463/profile,Ruston,LA,USA,,,,,32.5,4.69,31.0,,4.48,111.0,,12.17,
10007,19870224,1987,FB,72.3,220,10.25,Joe,Armentrout,Joe Armentrout,RB,53706.0,2508622,Wisconsin,72.0,220.0,1964-11-04,22.493150684931507,http://www.nfl.com/player/JoeArmentrout/2508622/profile,,,,,,,,30.5,4.71,31.0,18.0,4.16,116.0,,11.59,
10008,19870023,1987,OT,76.0,284,10.25,Bruce,Armstrong,Bruce Armstrong,OT,40292.0,2499455,Louisville,76.0,295.0,1965-09-07,21.65205479452055,http://www.nfl.com/player/BruceArmstrong/2499455/profile,Miami,FL,USA,Miami Central HS,,FL,USA,32.75,5.05,27.0,22.0,4.81,100.0,,,
10009,19870179,1987,FS,71.3,191,9.0,Gene,Atkins,Gene Atkins,DB,32307.0,2499467,Florida A&M,71.0,201.0,1964-11-22,22.443835616438356,http://www.nfl.com/player/GeneAtkins/2499467/profile,Tallahassee,FL,USA,,,,,29.75,4.58,31.0,14.0,4.55,120.0,,12.05,
