fumForcedId,playId,teamId,playerId,fumForcedPosition,fumForcedTurnover,fumForcedNull
610001,1,3200,19950022.0,CB,0.0,0
610002,27,3800,19970183.0,CB,0.0,0
610003,56,3200,19940145.0,S,0.0,0
610004,84,3200,20020021.0,TE,0.0,0
610005,182,3800,20030018.0,DE,0.0,0
610006,222,3300,19970092.0,LB,1.0,0
610007,333,3410,20030056.0,DE,0.0,0
610008,466,3410,20040097.0,LB,0.0,0
610009,578,3800,19970086.0,DE,0.0,0
610010,612,3800,20010202.0,CB,0.0,0
610011,615,3430,20000102.0,CB,1.0,0
610012,644,2520,20030587.0,LB,0.0,0
610013,738,2520,20020611.0,DE,1.0,0
610014,871,3800,20010034.0,DE,0.0,0
610015,894,4400,20040098.0,LB,1.0,0
610016,925,4400,20040133.0,DE,0.0,0
610017,939,4600,19990115.0,DE,1.0,0
610018,985,4600,19990089.0,DE,0.0,0
610019,1208,4500,20010007.0,DE,0.0,0
610020,1267,3800,19970057.0,LB,1.0,0
610021,1378,2510,20040091.0,DE,1.0,0
610022,1422,3800,20010482.0,S,1.0,0
610023,1429,2510,20020064.0,CB,0.0,0
610024,1443,3800,20040033.0,OLB,0.0,0
610025,1455,3800,20010064.0,S,0.0,0
610026,1602,3800,19990048.0,DT,1.0,0
610027,1621,4900,19990113.0,S,0.0,0
610028,1701,200,19990153.0,DT,1.0,0
610029,1704,3800,19980010.0,CB,1.0,0
610030,1720,200,19990153.0,DT,1.0,0
610031,1730,3800,20030018.0,DE,1.0,0
610032,1744,200,19960070.0,DE,1.0,0
610033,1765,3800,20040064.0,DT,1.0,0
610034,1767,200,19980157.0,LB,1.0,0
610035,1785,200,19980012.0,LB,1.0,0
610036,1800,200,19990030.0,DE,0.0,0
610037,1839,200,19980012.0,LB,0.0,0
610038,1888,200,19960070.0,DE,1.0,0
610039,1907,750,19940050.0,DT,1.0,0
610040,1915,750,19980043.0,CB,1.0,0
610041,1930,750,19970401.0,DE,0.0,0
610042,1959,200,20030055.0,S,1.0,0
610043,2105,920,20040417.0,LB,0.0,0
610044,2121,200,20040621.0,CB,0.0,0
610045,2145,1540,20020035.0,DE,0.0,0
610046,2215,1540,20000517.0,DE,1.0,0
610047,2284,1540,19990070.0,DE,1.0,0
610048,2435,3000,19970454.0,DT,0.0,0
610049,2587,200,19990153.0,DT,0.0,0
610050,2600,3300,20020082.0,LB,1.0,0
610051,2619,200,20040008.0,CB,1.0,0
610052,2677,200,19960063.0,CB,1.0,0
610053,2780,200,19960063.0,CB,0.0,0
610054,2812,4400,19960098.0,LB,1.0,0
610055,3045,200,19960070.0,DE,1.0,0
610056,3189,200,19980012.0,LB,1.0,0
610057,3387,200,20010102.0,LB,1.0,0
610058,3476,200,19990805.0,LB,0.0,0
610059,3546,610,20010046.0,DE,1.0,0
610060,3649,325,20030010.0,LB,1.0,0
610061,3703,325,20020024.0,S,1.0,0
610062,3802,920,20010147.0,TE,0.0,0
610063,3897,325,20020536.0,S,0.0,0
610064,3941,325,20000186.0,DE,1.0,0
610065,3980,325,20010062.0,CB,0.0,0
610066,4040,1200,19970128.0,LB,1.0,0
610067,4089,1200,20030005.0,CB,1.0,0
610068,4149,325,19990430.0,DT,1.0,0
610069,4276,325,20000092.0,LB,1.0,0
610070,4298,325,20010179.0,CB,1.0,0
610071,4484,2310,20010107.0,LB,0.0,0
610072,4542,325,20000186.0,DE,0.0,0
610073,4631,2700,19990158.0,DE,0.0,0
610074,4663,325,20000186.0,DE,0.0,0
610075,4666,325,20000092.0,LB,1.0,0
610076,4680,325,20020536.0,S,1.0,0
610077,4739,3410,20040097.0,LB,1.0,0
610078,4768,3410,19940424.0,S,0.0,0
610079,4804,325,19990173.0,DT,1.0,0
610080,4931,325,20010062.0,CB,1.0,0
610081,5209,1050,20010165.0,DB,1.0,0
610082,5232,610,19980013.0,LB,1.0,0
610083,5249,1050,20010073.0,LB,0.0,0
