fumId,playId,teamId,playerId,fumPosition,fumType,fumOOB,fumTurnover,fumNull
800001,1,3800,20020185,RB,forced,0,0.0,0
800002,27,3200,20000239,FB,forced,0,0.0,0
800003,53,3200,20000199,QB,unforced,0,1.0,0
800004,56,3800,20020081,QB,forced,0,0.0,0
800005,84,3800,19970057,LB,forced,1,0.0,0
800006,174,3300,19990131,QB,unforced,0,1.0,0
800007,182,3300,19990131,QB,forced,0,0.0,0
800008,188,3300,19990438,RB,unforced,0,1.0,0
800009,222,3800,19900017,RB,forced,0,1.0,0
800010,333,3800,20020081,QB,forced,0,0.0,0
800011,466,3800,19900017,RB,forced,0,0.0,0
800012,498,3800,19960417,WR/KR,unforced,0,0.0,0
800013,522,3430,20010016,WR/KR,unforced,0,0.0,0
800014,578,3430,20010053,QB,forced,0,0.0,0
800015,612,3430,19950074,RB,forced,0,0.0,0
800016,615,3800,20030054,WR,forced,0,1.0,0
800017,644,3800,20020081,QB,forced,0,0.0,0
800018,674,2520,20020017,CB,unforced,0,0.0,0
800019,738,3800,20020081,QB,forced,0,1.0,0
800020,766,3800,20040536,RB,unforced,0,0.0,0
800021,871,4400,20010605,QB,forced,0,0.0,0
800022,877,3800,20020615,RB,unforced,1,0.0,0
800023,894,3800,20020081,QB,forced,0,1.0,0
800024,914,3800,19990050,QB,unforced,0,1.0,0
800025,925,3800,20040202,QB,forced,0,0.0,0
800026,939,3800,20020081,QB,forced,0,1.0,0
800027,985,3800,20020081,QB,forced,0,0.0,0
800028,1113,3800,19960417,WR/KR,unforced,0,1.0,0
800029,1208,3800,20020081,QB,forced,0,0.0,0
800030,1267,4500,19990157,FB,forced,0,1.0,0
800031,1378,3800,20020081,QB,forced,0,1.0,0
800032,1422,2510,19990006,WR,forced,0,1.0,0
800033,1429,3800,19900017,RB,forced,1,0.0,0
800034,1443,2510,19940002,RB,forced,0,0.0,0
800035,1450,2510,20030106,WR,unforced,0,0.0,0
800036,1455,2510,19930419,QB,forced,0,0.0,0
800037,1574,4900,20030168,OG,unforced,0,1.0,0
800038,1602,4900,19980095,RB,forced,0,1.0,0
800039,1621,3800,19900017,RB,forced,1,0.0,0
800040,1693,200,19980085,CB,unforced,0,0.0,0
800041,1701,3800,20020081,QB,forced,0,1.0,0
800042,1704,200,20010001,QB,forced,0,1.0,0
800043,1720,3800,20020081,QB,forced,0,1.0,0
800044,1730,200,20010001,QB,forced,0,1.0,0
800045,1744,3800,20020081,QB,forced,0,1.0,0
800046,1745,200,19970012,RB,unforced,0,0.0,0
800047,1765,200,19970012,RB,forced,0,1.0,0
800048,1767,3800,19960417,WR/KR,forced,0,1.0,0
800049,1785,750,19970478,QB,forced,0,1.0,0
800050,1800,750,19970478,QB,forced,0,0.0,0
800051,1839,750,19960043,WR,forced,0,0.0,0
