interceptionId,playId,teamId,playerId,intPosition,int,intYards,intTd,intNull
540001,36,3200,20030036,DB,1,14,0,0
540002,60,3800,20000091,CB,1,0,0,0
540003,84,3800,19970057,LB,1,65,0,0
540004,130,3200,20030036,DB,1,13,0,0
540005,602,3430,20040012,LB,1,6,0,0
540006,632,3430,20000102,CB,1,14,0,0
540007,637,3430,19920005,CB,1,18,0,0
540008,838,3800,20000091,CB,1,0,0,0
540009,915,3800,20010482,S,1,1,0,0
540010,942,3800,20010202,CB,1,2,0,0
540011,1002,3800,20040033,OLB,1,2,0,0
540012,1061,4600,20010040,CB,1,21,1,0
540013,1093,3800,19980010,CB,1,5,0,0
540014,1102,3800,20000091,CB,1,2,0,0
540015,1152,4500,19980035,S,1,25,0,0
540016,1323,3800,20000091,CB,1,0,0,0
540017,1534,4900,20010084,S,1,13,0,0
540018,1538,3800,20040064,DT,1,20,0,0
540019,1625,3800,20010064,S,1,24,0,0
540020,1746,3800,20010064,S,1,11,0,0
540021,1853,750,20040028,CB,1,2,0,0
540022,1890,750,20040028,CB,1,0,0,0
540023,1944,200,19960063,CB,1,30,0,0
540024,2020,200,19960063,CB,1,32,0,0
540025,2189,1540,20040140,LB,1,33,0,0
540026,2411,200,19970438,CB,1,20,0,0
540027,2533,200,19980085,CB,1,14,0,0
540028,2569,3300,20020025,DE,1,8,0,0
540029,2617,200,20040008,CB,1,2,0,0
540030,2695,200,19990153,DT,1,39,1,0
540031,2782,200,19980012,LB,1,2,0,0
540032,2847,4400,20030046,CB,1,3,0,0
540033,3050,200,19960063,CB,1,0,0,0
540034,3179,200,20000048,CB,1,0,0,0
540035,3307,4900,19970066,CB,1,0,0,0
540036,3368,200,19980085,CB,1,8,0,0
540037,3454,325,19980097,CB,1,49,1,0
540038,3464,325,20010152,CB,1,17,0,0
540039,3573,325,19890005,CB,1,48,1,0
540040,3662,325,19890005,CB,1,0,0,0
540041,3675,325,20020209,S,1,94,0,0
540042,3681,325,20020024,S,1,14,0,0
540043,3799,920,20040056,FS,1,0,0,0
540044,3802,325,20020024,S,1,21,0,0
540045,4013,325,20020024,S,1,106,1,0
540046,4113,325,20020024,S,1,2,0,0
540047,4146,325,20020209,S,1,44,1,0
540048,4284,1540,20030137,S,1,35,0,0
540049,4311,325,20030182,S,1,0,0,0
540050,4560,325,20030109,DE,1,6,1,0
540051,4590,325,20020024,S,1,41,0,0
540052,4630,325,20020052,DE,1,1,0,0
540053,4686,325,20010062,CB,1,33,0,0
540054,4753,325,20020024,S,1,6,0,0
540055,4947,325,20000186,DE,1,8,0,0
540056,4999,325,19990010,DB,1,51,1,0
540057,5201,610,19920007,CB,1,8,0,0
540058,5204,1050,20000095,DB,1,24,0,0
540059,5289,610,20010021,CB,1,5,0,0
540060,5338,610,20030111,CB,1,4,0,0
540061,5342,1400,20010024,CB,1,15,0,0
540062,5354,610,20020061,DE,1,3,0,0
540063,5515,610,20010021,CB,1,2,0,0
540064,5609,610,19980188,S,1,33,0,0
540065,5666,610,19980013,LB,1,11,1,0
540066,5853,3200,19950022,CB,1,21,0,0
540067,6074,610,19960036,S,1,11,0,0
540068,6149,3900,20020128,LB,1,1,0,0
540069,6165,610,19980013,LB,1,16,0,0
540070,6217,610,20010021,CB,1,30,1,0
540071,6312,2510,20020064,CB,1,30,0,0
540072,6392,610,19980013,LB,1,0,0,0
540073,6421,610,19940008,DT,1,0,0,0
540074,6444,610,20030111,CB,1,0,0,0
540075,6666,3800,20010064,S,1,27,0,0
540076,6673,750,20030119,S,1,3,0,0
540077,6686,750,20030119,S,1,76,0,0
540078,6778,750,20040028,CB,1,0,0,0
540079,6896,200,20030055,S,1,22,0,0
540080,6922,200,19970438,CB,1,35,1,0
540081,7057,1800,20030029,LB,1,16,0,0
540082,7220,750,20010011,LB,1,0,0,0
540083,7277,750,20000105,LB,1,38,0,0
540084,7598,750,19980502,FS,1,49,1,0
540085,7740,750,20020073,LB,1,0,0,0
540086,7916,4400,20030062,S,1,0,0,0
540087,7976,750,20030082,CB,1,30,0,0
540088,8041,750,20020073,LB,1,25,0,0
540089,8051,750,20040028,CB,1,0,0,0
540090,8081,750,20030082,CB,1,16,0,0
540091,8102,750,20010011,LB,1,9,0,0
540092,8106,2510,20010145,CB,1,6,0,0
540093,8111,750,20010011,LB,1,11,0,0
540094,8174,4900,19980045,CB,1,0,0,0
540095,8210,750,20020002,DE,1,46,1,0
540096,8313,1540,20020068,CB,1,0,0,0
540097,8364,810,20000254,S,1,0,0,0
540098,8439,1540,19940127,DB,1,0,0,0
540099,8487,1800,19970060,S,1,43,1,0
540100,8630,2120,19940012,CB,1,3,0,0
540101,8668,2120,20040010,CB,1,40,0,0
540102,8840,2200,20020074,DB,1,0,0,0
540103,8862,810,20040110,CB,1,30,0,0
540104,8897,2200,20030058,DB,1,0,0,0
540105,8940,810,19990147,CB,1,52,0,0
540106,8986,810,20000009,LB,1,42,0,0
540107,9080,810,19990147,CB,1,1,0,0
