kickRetId,playId,teamId,playerId,kickRetPosition,kickRetOutcome,kickRetPrimary,kickRetYds,kickRetTd,kickRetEnd,kickRetNull
320001,1,3800,20020185.0,RB,returned,1,17,,in bounds,0
320002,7,3200,19930198.0,WR,returned,1,5,,in bounds,0
320003,20,3200,19930198.0,WR,returned,1,22,,in bounds,0
320004,32,3800,20020185.0,RB,returned,1,18,,in bounds,0
320005,44,3800,20020185.0,RB,returned,1,28,,in bounds,0
320006,48,3200,19930198.0,WR,returned,1,-2,,in bounds,0
320007,58,3200,20030045.0,WR,returned,1,23,,in bounds,0
320008,74,3800,19960417.0,WR/KR,fair catch,1,0,,in bounds,0
320009,126,3800,20020185.0,RB,returned,1,26,,in bounds,0
320010,139,3800,20020185.0,RB,returned,1,19,,in bounds,0
320011,143,3200,19930198.0,WR,returned,1,2,,in bounds,0
320012,183,3800,19960417.0,WR/KR,returned,1,7,,in bounds,0
320013,190,3300,20000540.0,WR,returned,1,30,,in bounds,0
320014,201,3800,20020185.0,RB,returned,1,23,,in bounds,0
320015,207,3300,20000540.0,WR,returned,1,7,,ran out of bounds,0
320016,212,3800,19960417.0,WR/KR,returned,1,3,,in bounds,0
320017,227,3800,19960417.0,WR/KR,returned,1,8,,in bounds,0
320018,234,3300,20000540.0,WR,returned,1,12,,in bounds,0
320019,241,3800,19960417.0,WR/KR,returned,1,0,,in bounds,0
320020,243,3800,20020185.0,RB,returned,1,29,,in bounds,0
320021,249,3800,19970403.0,FB,returned,1,15,,in bounds,0
320022,262,3800,19960417.0,WR/KR,fair catch,1,0,,in bounds,0
320023,273,3300,20000540.0,WR,returned,1,12,,ran out of bounds,0
320024,290,3300,20000540.0,WR,returned,1,21,,in bounds,0
320025,295,3800,19960417.0,WR/KR,returned,1,8,,in bounds,0
320026,317,3300,20000540.0,WR,returned,1,21,,in bounds,0
320027,325,3800,20020185.0,RB,returned,1,24,,in bounds,0
320028,347,3800,20020185.0,RB,returned,1,16,,in bounds,0
320029,373,3800,20020185.0,RB,returned,1,22,,in bounds,0
320030,378,3410,20040206.0,WR,returned,1,11,,in bounds,0
320031,385,3800,19960417.0,WR/KR,returned,1,7,,in bounds,0
320032,399,3410,20000011.0,RB,returned,1,11,,in bounds,0
320033,418,3410,20040206.0,WR,returned,1,7,,in bounds,0
320034,422,3800,19960417.0,WR/KR,returned,1,38,,ran out of bounds,0
320035,433,3410,20040235.0,RB,returned,1,28,,in bounds,0
320036,440,3800,19960417.0,WR/KR,returned,1,3,,in bounds,0
320037,450,3800,19960417.0,WR/KR,returned,1,4,,in bounds,0
320038,454,3410,20040206.0,WR,returned,1,0,,in bounds,0
320039,470,3800,19960417.0,WR/KR,returned,1,13,,in bounds,0
320040,474,3410,20040206.0,WR,returned,1,-1,,in bounds,0
320041,494,3430,20010016.0,WR/KR,fair catch,1,0,,in bounds,0
320042,498,3800,19960417.0,WR/KR,returned,1,2,,in bounds,0
320043,522,3430,20010016.0,WR/KR,returned,1,0,,in bounds,0
320044,533,3430,20010016.0,WR/KR,returned,1,1,,in bounds,0
320045,587,3430,20010016.0,WR/KR,returned,1,9,,ran out of bounds,0
320046,590,3800,20020185.0,RB,returned,1,21,,in bounds,0
320047,636,3800,19960417.0,WR/KR,returned,1,2,,in bounds,0
320048,638,3800,20020185.0,RB,returned,1,27,,in bounds,0
320049,674,2520,20020017.0,CB,returned,1,1,,in bounds,0
320050,704,2520,20030167.0,WR,returned,1,20,,in bounds,0
320051,718,2520,20020235.0,WR,returned,1,4,,in bounds,0
320052,737,3800,20020185.0,RB,returned,1,17,,in bounds,0
320053,744,3800,20030459.0,WR,returned,1,21,,in bounds,0
320054,753,2520,20020235.0,WR,fair catch,1,0,,in bounds,0
320055,757,3800,20030459.0,WR,returned,1,3,,ran out of bounds,0
320056,774,3800,20030459.0,WR,returned,1,10,,in bounds,0
320057,778,4400,20030046.0,CB,returned,1,65,,in bounds,0
320058,784,3800,20020185.0,RB,returned,1,18,,in bounds,0
320059,795,4400,20040154.0,HB,returned,1,43,,ran out of bounds,0
320060,808,3800,20020185.0,RB,returned,1,20,,in bounds,0
320061,826,3800,20010190.0,WR,returned,1,26,,in bounds,0
320062,830,4400,20040574.0,WR/KR,returned,1,8,,in bounds,0
320063,840,4400,20040574.0,WR/KR,returned,1,22,,in bounds,0
320064,854,3800,20010190.0,WR,returned,1,18,,in bounds,0
320065,861,4400,20040574.0,WR/KR,returned,1,2,,in bounds,0
320066,877,3800,20020615.0,RB,returned,1,0,,in bounds,0
320067,881,4400,20040573.0,WR/KR,returned,1,10,,in bounds,0
320068,896,3800,20020615.0,RB,returned,1,15,,in bounds,0
320069,900,4400,20040573.0,WR/KR,returned,1,0,,in bounds,0
320070,909,3800,20030459.0,WR,returned,1,2,,in bounds,0
320071,919,4400,20040573.0,WR/KR,returned,1,76,1.0,in bounds,0
320072,921,3800,20030459.0,WR,returned,1,19,,in bounds,0
320073,933,4400,20040574.0,WR/KR,returned,1,9,,in bounds,0
320074,935,3800,20040536.0,RB,returned,1,35,,in bounds,0
320075,950,4600,20020028.0,TE,returned,1,12,,in bounds,0
320076,963,4600,20020054.0,RB,returned,1,2,,in bounds,0
320077,993,3800,20040536.0,RB,returned,1,20,,in bounds,0
320078,1009,4600,20020054.0,RB,returned,1,28,,in bounds,0
320079,1013,3800,19960417.0,WR/KR,returned,1,0,,in bounds,0
320080,1017,4600,20020054.0,RB,fair catch,1,0,,in bounds,0
320081,1020,4600,20020054.0,RB,returned,1,28,,in bounds,0
320082,1030,4600,20020054.0,RB,returned,1,1,,in bounds,0
320083,1047,4600,20020054.0,RB,returned,1,24,,in bounds,0
320084,1057,3800,20040536.0,RB,returned,1,12,,in bounds,0
320085,1063,3800,20040536.0,RB,returned,1,22,,in bounds,0
320086,1071,4600,20020054.0,RB,returned,1,1,,in bounds,0
320087,1076,3800,19960417.0,WR/KR,returned,1,18,,in bounds,0
320088,1085,3800,19960417.0,WR/KR,returned,1,-2,,in bounds,0
320089,1091,4600,20020054.0,RB,returned,1,3,,in bounds,0
320090,1105,3800,20040537.0,TE,returned,1,13,,in bounds,0
320091,1109,4500,20030197.0,WR,returned,1,10,,in bounds,0
320092,1113,3800,19960417.0,WR/KR,returned,1,0,,in bounds,0
320093,1122,3800,20030017.0,WR,returned,1,17,,in bounds,0
320094,1147,3800,20030017.0,WR,returned,1,22,,ran out of bounds,0
320095,1160,3800,20030017.0,WR,returned,1,19,,in bounds,0
320096,1177,3800,19960417.0,WR/KR,returned,1,0,,ran out of bounds,0
320097,1181,4500,20030197.0,WR,returned,1,6,,in bounds,0
320098,1185,4500,20010196.0,CB,returned,1,20,,in bounds,0
320099,1201,4500,20030197.0,WR,returned,1,9,,in bounds,0
320100,1205,3800,19960417.0,WR/KR,returned,1,4,,in bounds,0
320101,1220,3800,19980010.0,CB,returned,1,15,,in bounds,0
320102,1231,4500,20010196.0,CB,returned,1,23,,in bounds,0
320103,1253,3800,19980010.0,CB,returned,1,7,,in bounds,0
320104,1273,4500,20030197.0,WR,returned,1,17,,in bounds,0
320105,1289,4500,20030197.0,WR,returned,1,9,,in bounds,0
320106,1296,2510,20030402.0,RB,returned,1,15,,in bounds,0
320107,1300,3800,19980010.0,CB,returned,1,0,,in bounds,0
320108,1306,2510,20030106.0,WR,returned,1,7,,in bounds,0
320109,1310,3800,19980010.0,CB,returned,1,0,,in bounds,0
320110,1322,2510,20030402.0,RB,returned,1,24,,in bounds,0
320111,1332,2510,20030402.0,RB,returned,1,25,,in bounds,0
320112,1336,3800,19980010.0,CB,returned,1,10,,in bounds,0
320113,1353,3800,19980010.0,CB,fair catch,1,0,,in bounds,0
320114,1380,3800,20020185.0,RB,returned,1,19,,in bounds,0
320115,1382,3800,19970403.0,FB,returned,1,14,,in bounds,0
320116,1388,2510,20030106.0,WR,returned,1,5,,ran out of bounds,0
320117,1392,3800,19980010.0,CB,returned,1,6,,in bounds,0
320118,1405,2510,20030402.0,RB,returned,1,22,,in bounds,0
320119,1414,2510,20030106.0,WR,returned,1,3,,in bounds,0
320120,1444,3800,19980010.0,CB,returned,1,5,,in bounds,0
320121,1450,2510,20030106.0,WR,returned,1,0,,in bounds,0
320122,1460,2510,20030106.0,WR,returned,1,13,,ran out of bounds,0
320123,1467,3800,19960417.0,WR/KR,returned,1,2,,in bounds,0
320124,1489,3800,19960417.0,WR/KR,fair catch,1,0,,in bounds,0
320125,1494,4900,19950008.0,WR,returned,1,1,,ran out of bounds,0
