kickId,playId,teamId,playerId,kickPosition,kickType,kickOutcome,kickInside20,kickOnside,kickOwnRecovery,kickLength,kickReturnYds,kickNetYds,kickReturnTd,kickNull
300001,1,3200,19960452,K,kickoff,returned,1,0,0,72.0,17,55.0,0,0
300002,7,3800,19940992,P,punt,returned,1,0,0,41.0,5,36.0,0,0
300003,15,3200,19940450,P,punt,touchback,0,0,0,53.0,0,53.0,0,0
300004,20,3800,19940992,P,punt,returned,0,0,0,55.0,22,33.0,0,0
300005,31,3200,19960452,K,xp,good,0,0,0,19.0,0,0.0,0,0
300006,32,3200,19960452,K,kickoff,returned,1,0,0,73.0,18,55.0,0,0
300007,43,3200,19960452,K,xp,good,0,0,0,19.0,0,0.0,0,0
300008,44,3200,19960452,K,kickoff,returned,0,0,0,70.0,28,42.0,0,0
300009,48,3800,19940992,P,punt,returned,0,0,0,43.0,-2,45.0,0,0
300010,57,3800,20000169,K,field goal,good,0,0,0,51.0,0,0.0,0,0
300011,58,3800,20000169,K,kickoff,returned,0,0,0,70.0,23,47.0,0,0
300012,64,3800,20000169,K,field goal,good,0,0,0,52.0,0,0.0,0,0
300013,65,3800,20000169,K,kickoff,touchback,0,0,0,70.0,0,50.0,0,0
300014,74,3200,19940450,P,punt,fair catch,1,0,0,31.0,0,31.0,0,0
300015,82,3800,20000169,K,field goal,missed,0,0,0,58.0,0,58.0,0,0
300016,85,3800,20000169,K,kickoff,touchback,0,0,0,70.0,0,50.0,0,0
300017,98,3200,19960452,K,field goal,good,0,0,0,29.0,0,0.0,0,0
300018,99,3200,19960452,K,kickoff,touchback,0,0,0,70.0,0,50.0,0,0
300019,116,3800,20000169,K,kickoff,touchback,0,0,0,70.0,0,50.0,0,0
300020,125,3200,19960452,K,field goal,good,0,0,0,28.0,0,0.0,0,0
300021,126,3200,19960452,K,kickoff,returned,0,0,0,69.0,26,43.0,0,0
300022,138,3200,19960452,K,field goal,good,0,0,0,24.0,0,0.0,0,0
300023,139,3200,19960452,K,kickoff,returned,0,0,0,68.0,19,49.0,0,0
300024,143,3800,19940992,P,punt,returned,0,0,0,41.0,2,39.0,0,0
300025,149,3200,19940450,P,punt,downed,1,0,0,53.0,0,53.0,0,0
300026,163,3800,20000169,K,kickoff,touchback,0,0,0,70.0,0,50.0,0,0
300027,178,3800,19940992,P,punt,downed,0,0,0,51.0,0,51.0,0,0
300028,183,3300,19940193,P,punt,returned,0,0,0,54.0,7,47.0,0,0
300029,187,3800,19940992,P,punt,downed,0,0,0,17.0,0,17.0,0,0
300030,189,3800,20000169,K,xp,good,0,0,0,19.0,0,0.0,0,0
300031,190,3800,20000169,K,kickoff,returned,0,0,0,76.0,30,46.0,0,0
300032,200,3300,19870400,K,field goal,good,0,0,0,20.0,0,0.0,0,0
300033,201,3300,19870400,K,kickoff,returned,0,0,0,72.0,23,49.0,0,0
300034,207,3800,19940992,P,punt,returned,0,0,0,53.0,7,46.0,0,0
300035,212,3300,19940193,P,punt,returned,1,0,0,53.0,3,50.0,0,0
300036,227,3300,19940193,P,punt,returned,0,0,0,56.0,8,48.0,0,0
300037,233,3800,20000169,K,xp,good,0,0,0,19.0,0,0.0,0,0
300038,234,3800,20000169,K,kickoff,returned,1,0,0,67.0,12,55.0,0,0
300039,241,3300,19940193,P,punt,returned,0,0,0,42.0,0,42.0,0,0
300040,243,3300,19870400,K,kickoff,returned,0,0,0,71.0,29,42.0,0,0
300041,247,3800,19940992,P,punt,blocked,0,0,0,,0,22.0,0,0
300042,248,3300,19870400,K,xp,good,0,0,0,19.0,0,0.0,0,0
300043,249,3300,19870400,K,kickoff,returned,1,0,0,66.0,15,51.0,0,0
300044,256,3800,19940992,P,punt,touchback,0,0,0,48.0,0,48.0,0,0
300045,262,3300,19940193,P,punt,fair catch,1,0,0,48.0,0,48.0,0,0
300046,272,3800,20000169,K,field goal,good,0,0,0,26.0,0,0.0,0,0
300047,273,3800,20000169,K,kickoff,returned,1,0,0,70.0,12,58.0,0,0
300048,278,3300,19940193,P,punt,out of bounds,0,0,0,32.0,0,32.0,0,0
300049,289,3800,20000169,K,field goal,good,0,0,0,33.0,0,0.0,0,0
300050,290,3800,20000169,K,kickoff,returned,1,0,0,74.0,21,53.0,0,0
300051,295,3300,19940193,P,punt,returned,0,0,0,48.0,8,40.0,0,0
300052,301,3800,20000169,K,xp,good,0,0,0,19.0,0,0.0,0,0
300053,302,3800,20000169,K,kickoff,touchback,0,0,0,70.0,0,50.0,0,0
300054,316,3800,20000169,K,xp,good,0,0,0,19.0,0,0.0,0,0
300055,317,3800,20000169,K,kickoff,returned,0,0,0,69.0,21,48.0,0,0
300056,325,3410,19900402,K,kickoff,returned,0,0,0,60.0,24,36.0,0,0
300057,334,3800,19940992,P,punt,touchback,0,0,0,48.0,0,48.0,0,0
300058,346,3410,19900402,K,xp,good,0,0,0,19.0,0,0.0,0,0
300059,347,3410,19900402,K,kickoff,returned,0,0,0,60.0,16,44.0,0,0
300060,360,3800,20000169,K,field goal,good,0,0,0,41.0,0,0.0,0,0
300061,361,3800,20000169,K,kickoff,touchback,0,0,0,70.0,0,50.0,0,0
300062,372,3410,19900402,K,xp,good,0,0,0,19.0,0,0.0,0,0
300063,373,3410,19900402,K,kickoff,returned,0,0,0,70.0,22,48.0,0,0
300064,378,3800,19940992,P,punt,returned,0,0,0,51.0,11,40.0,0,0
300065,385,3410,19880400,P,punt,returned,0,0,0,47.0,7,40.0,0,0
300066,398,3800,20000169,K,xp,good,0,0,0,19.0,0,0.0,0,0
300067,399,3800,20000169,K,kickoff,returned,0,0,0,60.0,11,49.0,0,0
300068,401,3800,20000169,K,kickoff,touchback,0,0,0,70.0,0,50.0,0,0
300069,413,3410,19900402,K,field goal,blocked,0,0,0,44.0,0,44.0,0,0
300070,418,3800,19940992,P,punt,returned,0,0,0,40.0,7,33.0,0,0
300071,422,3410,19880400,P,punt,returned,0,0,0,55.0,38,17.0,0,0
300072,432,3800,20000169,K,xp,good,0,0,0,19.0,0,0.0,0,0
300073,433,3800,20000169,K,kickoff,returned,0,0,0,68.0,28,40.0,0,0
300074,440,3410,19880400,P,punt,returned,1,0,0,34.0,3,31.0,0,0
300075,446,3800,19940992,P,punt,downed,1,0,0,47.0,0,47.0,0,0
300076,450,3410,19880400,P,punt,returned,0,0,0,55.0,4,51.0,0,0
300077,454,3800,19940992,P,punt,returned,0,0,0,43.0,0,43.0,0,0
300078,470,3410,19880400,P,punt,returned,0,0,0,43.0,13,30.0,0,0
300079,474,3800,19940992,P,punt,returned,1,0,0,48.0,-1,49.0,0,0
300080,483,3800,20000169,K,kickoff,touchback,0,0,0,70.0,0,50.0,0,0
300081,488,3430,19970437,P,punt,out of bounds,0,0,0,26.0,0,26.0,0,0
300082,494,3800,19940992,P,punt,fair catch,1,0,0,30.0,0,30.0,0,0
300083,498,3430,19970437,P,punt,returned,0,0,0,38.0,2,36.0,0,0
300084,503,3800,19940992,P,punt,touchback,0,0,0,55.0,0,55.0,0,0
300085,514,3430,19970437,P,punt,touchback,0,0,0,32.0,0,32.0,0,0
300086,522,3800,19940992,P,punt,returned,0,0,0,36.0,0,36.0,0,0
300087,529,3430,19970437,P,punt,downed,1,0,0,31.0,0,31.0,0,0
300088,533,3800,19940992,P,punt,returned,0,0,0,46.0,1,45.0,0,0
300089,545,3430,19940085,K,field goal,good,0,0,0,28.0,0,0.0,0,0
300090,546,3430,19970437,P,kickoff,touchback,0,0,0,70.0,0,50.0,0,0
300091,557,3800,20000169,K,field goal,good,0,0,0,20.0,0,0.0,0,0
