sackId,playId,teamId,playerId,sackPosition,sackType,sackYards,sackEnd,sackNull
500001,26,3800,20010230,DE,1.0,-8,in bounds,0
500002,33,3200,19940004,LB,1.0,0,in bounds,0
500003,34,3200,19940145,S,1.0,-6,in bounds,0
500004,55,3200,19940004,LB,1.0,-9,in bounds,0
500005,56,3200,19940145,S,1.0,-15,in bounds,0
500006,80,3200,19970091,LB,1.0,-13,in bounds,0
500007,97,3800,19970086,DE,1.0,-4,in bounds,0
500008,182,3800,20030018,DE,1.0,-4,in bounds,0
500009,186,3300,20000033,DE,1.0,-5,in bounds,0
500010,264,3300,20020025,DE,1.0,-11,in bounds,0
500011,333,3410,20030056,DE,1.0,-6,in bounds,0
500012,382,3800,19970086,DE,1.0,-6,in bounds,0
500013,384,3800,20040033,OLB,1.0,-5,in bounds,0
500014,411,3800,19970086,DE,1.0,-5,in bounds,0
500015,421,3800,20040033,OLB,1.0,-5,in bounds,0
500016,459,3800,19970086,DE,1.0,-4,in bounds,0
500017,468,3800,19970086,DE,1.0,-7,in bounds,0
500018,473,3410,20010554,DT,1.0,-10,in bounds,0
500019,528,3800,20040064,DT,0.5,-8,in bounds,0
500020,578,3800,19970086,DE,1.0,-6,in bounds,0
500021,584,3430,20000012,DE,1.0,-7,in bounds,0
500022,644,2520,20030587,LB,1.0,-4,in bounds,0
500023,646,2520,19980152,DE,1.0,-3,in bounds,0
500024,651,2520,19980152,DE,1.0,-4,in bounds,0
500025,666,3800,20010034,DE,1.0,-6,in bounds,0
500026,680,3800,19970086,DE,1.0,-2,in bounds,0
500027,738,2520,20020611,DE,1.0,0,in bounds,0
500028,871,3800,20010034,DE,1.0,-4,in bounds,0
500029,918,4400,20040098,LB,1.0,-7,in bounds,0
500030,925,4400,20040133,DE,1.0,-8,in bounds,0
500031,936,4600,20030655,LB,1.0,-7,in bounds,0
500032,939,4600,19990115,DE,1.0,-10,in bounds,0
500033,985,4600,19990089,DE,1.0,-6,in bounds,0
500034,1084,3800,20000041,LB,1.0,-7,in bounds,0
500035,1208,4500,20010007,DE,1.0,-8,in bounds,0
500036,1290,3800,19970086,DE,1.0,-7,in bounds,0
500037,1299,3800,19970086,DE,0.5,-8,in bounds,0
500038,1304,2510,20010020,S,1.0,-6,in bounds,0
500039,1335,3800,20010202,CB,1.0,-12,in bounds,0
500040,1378,2510,20040091,DE,1.0,-10,in bounds,0
500041,1441,3800,20040033,OLB,1.0,-5,in bounds,0
500042,1455,3800,20010064,S,1.0,-1,in bounds,0
500043,1495,3800,19990048,DT,1.0,-8,in bounds,0
500044,1509,3800,19970086,DE,1.0,-10,in bounds,0
500045,1596,3800,19970086,DE,1.0,-12,in bounds,0
500046,1610,3800,20040064,DT,1.0,-7,in bounds,0
500047,1644,3800,19990132,DE,1.0,-3,in bounds,0
500048,1661,3800,19990132,DE,1.0,-11,in bounds,0
500049,1687,200,19990030,DE,1.0,-7,in bounds,0
500050,1692,200,19990153,DT,1.0,-8,in bounds,0
500051,1701,200,19990153,DT,1.0,-12,in bounds,0
500052,1702,3800,19970086,DE,1.0,-1,in bounds,0
500053,1704,3800,19980010,CB,1.0,0,in bounds,0
500054,1710,3800,20040033,OLB,1.0,-5,in bounds,0
500055,1730,3800,20030018,DE,1.0,-6,in bounds,0
500056,1734,200,19990030,DE,1.0,-14,in bounds,0
500057,1744,200,19960070,DE,1.0,-12,in bounds,0
500058,1762,200,19990030,DE,1.0,-6,in bounds,0
500059,1785,200,19980012,LB,1.0,-4,in bounds,0
500060,1793,750,19990038,DE,1.0,-2,in bounds,0
500061,1800,200,19990030,DE,1.0,-14,in bounds,0
500062,1831,750,19950013,LB,1.0,-10,in bounds,0
500063,1874,200,19990153,DT,1.0,-2,in bounds,0
500064,1888,200,19960070,DE,1.0,-6,in bounds,0
500065,1907,750,19940050,DT,1.0,-12,in bounds,0
500066,1930,750,19970401,DE,1.0,-5,in bounds,0
500067,1959,200,20030055,S,1.0,-14,in bounds,0
500068,1991,200,20030055,S,1.0,-6,in bounds,0
500069,2072,920,20030259,DE,1.0,-7,in bounds,0
500070,2090,200,20020661,DE,1.0,-14,in bounds,0
500071,2102,200,20040621,CB,1.0,-9,in bounds,0
500072,2145,1540,20020035,DE,1.0,-8,in bounds,0
500073,2149,200,19990153,DT,1.0,-10,in bounds,0
500074,2164,1540,20010061,DT,1.0,-9,in bounds,0
500075,2171,1540,20040140,LB,1.0,-1,in bounds,0
500076,2183,200,19960070,DE,1.0,-9,in bounds,0
500077,2205,200,19960063,CB,1.0,-1,in bounds,0
500078,2215,1540,20000517,DE,1.0,-6,in bounds,0
500079,2283,1540,20010061,DT,1.0,-5,in bounds,0
500080,2284,1540,19990070,DE,1.0,-6,in bounds,0
500081,2362,3000,19990119,LB,1.0,-9,in bounds,0
500082,2399,3000,20040155,LB,1.0,-5,in bounds,0
500083,2426,200,20030415,LB,1.0,-6,in bounds,0
500084,2431,200,20040101,LB,1.0,-8,in bounds,0
500085,2432,200,20040101,LB,1.0,-11,in bounds,0
500086,2458,200,20040101,LB,0.5,-8,in bounds,0
500087,2514,3300,20040018,DE,1.0,-2,in bounds,0
500088,2518,200,19990153,DT,1.0,-5,in bounds,0
500089,2542,200,19960070,DE,1.0,-1,in bounds,0
500090,2581,3300,20040240,LB,1.0,0,in bounds,0
500091,2587,200,19990153,DT,1.0,-10,in bounds,0
500092,2622,2520,20010572,LB,0.5,-10,in bounds,0
500093,2640,200,20040008,CB,0.5,-1,in bounds,0
500094,2784,4400,20040035,DT,1.0,-5,in bounds,0
500095,2818,4400,19980075,LB,1.0,-1,in bounds,0
500096,2827,200,20040543,DE,1.0,-4,in bounds,0
500097,2857,4400,19980075,LB,1.0,-6,in bounds,0
